コード,銘柄名,市場,売買代金,前日比
285A,キオクシア,東Ｐ,3410135,-9900.0
6976,太陽誘電,東Ｐ,346608,-2830.0
6981,村田製,東Ｐ,339217,-794.0
9984,ＳＢＧ,東Ｐ,299975,-6.0
8035,東エレク,東Ｐ,261716,-1640.0
3436,ＳＵＭＣＯ,東Ｐ,220632,-111.0
6920,レーザーテク,東Ｐ,211617,390.0
5803,フジクラ,東Ｐ,207862,-143.0
6857,アドテスト,東Ｐ,197115,-1010.0
8306,三菱ＵＦＪ,東Ｐ,152328,80.0
4062,イビデン,東Ｐ,145802,-1610.0
9983,ファストリ,東Ｐ,95936,-880.0
8316,三井住友ＦＧ,東Ｐ,90281,111.0
5016,ＪＸ金属,東Ｐ,85412,-126.0
6146,ディスコ,東Ｐ,85406,-1690.0
6525,コクサイエレ,東Ｐ,76926,-220.0
7453,良品計画,東Ｐ,70591,610.0
6506,安川電,東Ｐ,65559,-1000.0
8411,みずほＦＧ,東Ｐ,61852,110.0
5801,古河電,東Ｐ,60457,-136.0
4063,信越化,東Ｐ,59963,20.0
6723,ルネサス,東Ｐ,57076,-293.0
7974,任天堂,東Ｐ,57040,76.0
7203,トヨタ,東Ｐ,56008,-17.0
7011,三菱重,東Ｐ,50786,-60.0
6861,キーエンス,東Ｐ,47756,-270.0
7735,スクリン,東Ｐ,45139,-395.0
6762,ＴＤＫ,東Ｐ,44888,-186.0
6501,日立,東Ｐ,44125,16.0
5802,住友電,東Ｐ,42290,-96.0
6752,パナＨＤ,東Ｐ,42283,-61.0
7013,ＩＨＩ,東Ｐ,36524,2.0
6758,ソニーＧ,東Ｐ,36239,-18.0
6954,ファナック,東Ｐ,35245,-199.0
4004,レゾナック,東Ｐ,34388,-820.0
7012,川重,東Ｐ,34301,-63.0
6227,ＡＩメカ,東Ｓ,32141,1000.0
6098,リクルート,東Ｐ,30481,110.0
8136,サンリオ,東Ｐ,29356,18.5
8766,東京海上,東Ｐ,29313,4.0
6526,ソシオネクス,東Ｐ,28596,-173.0
6503,三菱電,東Ｐ,27984,-180.0
5706,三井金属,東Ｐ,27628,-1180.0
8058,三菱商,東Ｐ,27599,31.0
6367,ダイキン,東Ｐ,25886,-120.0
6963,ローム,東Ｐ,25881,-357.0
6871,日本マイクロ,東Ｐ,25241,-150.0
3382,セブン＆アイ,東Ｐ,25083,-8.5
7936,アシックス,東Ｐ,24762,307.0
9432,ＮＴＴ,東Ｐ,24416,1.5
